pgonzalezs,LaPalma,Menos mal que existe gente buena en el mundo como vosotros que intenta ayudar a los demás
javibm,CrowdfundingLP,Qué gran labor hacéis. ¿Cuáles serán los próximos proyectos con los que vais a colaborar?
lgruneiro,LaPalma,Me alegra que esteis intentando concienciar a la gente. Buen trabajo!
alejandrosauco,LaPalma,Creo que con 2000€ ya hay ayuda suficiente... para qué quereis recaudar 5000€???
farrenyalvaro,LaPalma, Ojalá llegue pronto ese dinero... nos hace mucha falta aquí en La Palma... la situación es grave aún!
crishmdt,LaPalma, Acabo de donar 20€ a la causa del Volcán de La Palma de Gran Canaria. Tengo familia y amigos allí y os aseguro que lo están pasando muy mal. Os agradecería mucho a todos que aportaseis vuestro grano de arena para que los habitantes de la isla puedan volver a la normalidad lo antes posible. Muchas gracias.
ragodela99,CrowdfundingLP,¿Para cuándo un Crowdfunding de alguna start-up? gracias
rivero_carlos,CrowdfundingLP,Me encanta esta página! Mucho mejor que otras que encuentras por ahí...
alan_levy00,LaPalma,Mis 5€ para La Palma. Espero que ayuden!
claudiaardanuy,LaPalma,Gracias por el dinero de La Palma chicos!

